"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"9BG5F67M","conferencePaper","2014","Behbahani, Alireza R.; Von Moll, Alex; Zeller, Robert; Ordo, James","Aircraft Integration Challenges and Opportunities for Distributed Intelligent Control, Power, Thermal Management, Diagnostic and Prognostic Systems","","","","10.4271/2014-01-2161","https://doi.org/10.4271/2014-01-2161","Modern propulsion system designers face challenges that require that aircraft and engine manufacturers improve performance as well as reduce the life-cycle cost (LCC). These improvements will require a more efficient, more reliable, and more advanced propulsion system. The concept of smart components is built around actively controlling the engine and the aircraft to operate optimally. Usage of smart components intelligently increases efficiency and system safety throughout the flight envelope, all while meeting environmental challenges. This approach requires an integration and optimization, both at the local level and the system level, to reduce cost. Interactions between the various subsystems must be understood through the use of modeling and simulation. This is accomplished by starting with individual subsystem models and combining them into a complete system model. Hierarchical, decentralized control reduces cost and risk by enabling integration and modularity. This process involves defining, developing, and validating against requirements for key integrated propulsion, power, and thermal management system capabilities.","2014-09","2016-12-01 16:56:30","2018-07-13 13:12:59","","","","","","","","","","","","","SAE Intenational","","","All rights reserved","","","","Google Scholar","","","","/Users/vonmolal/Zotero/storage/XJH65H5H/Behbahani et al. - 2014 - Aircraft Integration Challenges and Opportunities .pdf; /Users/vonmolal/Zotero/storage/7V6G7TTA/Behbahani et al_2014_Aircraft Integration Challenges and Opportunities for Distributed Intelligent.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SAE 2014 Aerospace Systems and Technology Conference","","","","","","","","","","","","","","",""
"JKG35KQ8","conferencePaper","2014","Von Moll, Alexander; Semega, Ken; Behbahani, Alireza; Hoying, John","Recent Progress, Challenges, and Future Development Needs of Thermally/Energy Efficient Fuel Actuator Pumping Systems for Military Gas Turbine Engine Applications","34th Airbreathing Propulsion","","","","","Thermal management has emerged as one of the primary challenges for modern military gas turbine engines. Fuel actuator pumping systems contribute to the challenge by constantly injecting waste heat into the fuel system. This is due to a fundamental mismatching between an actuation system with a low duty cycle and a pump which is always running. Since the pump is directly coupled to the gearbox, the detriment is twofold: horsepower is always being drawn to drive the pump, and heat is generated. Furthermore, the emergence of variable cycle engines pushes the actuation system in the direction of more effectors and more loads, which drives requirements for high pressure and high flows from the pumping system. Piston pumps have been seen as favorable for the actuation pump application due to their high single stage pressure rise capability. However reducing the number of pumping components alone has not solved the thermal management issue. Variable displacement pumps have been designed to operate over a range of conditions in order to deliver flow more appropriately as demanded by the control system. These pumps allow pressure and flow to be modulated independent of one another and of the pump’s rotational speed. Variable displacement pumps may be considered as a component of a partial-demand actuation pumping system. Even in a partial-demand actuation pumping system, a variable displacement pump will still be coupled to the gearbox and require some minimum flow for lubrication and cooling. On-demand actuation fuel systems deliver only the amount of flow that is being demanded at a given time so that waste heat is minimized. In other words, the duty cycle of the pumping system matches that of the actuation system. The development of an on-demand actuation fuel system will require a new architecture and new components.","2014","2016-12-01 16:56:30","2018-07-13 12:51:41","","","","","","","","","","","","","JANNAF Interagency Propulsion Committee","","","All rights reserved","","","","Google Scholar","","","","/Users/vonmolal/Zotero/storage/WZ49VPFM/Von Moll et al_2014_Recent Progress, Challenges, and Future Development Needs of Thermally-Energy.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RTXK3GSH","conferencePaper","2013","Von Moll, Alexander; Behbahani, Alireza R.","Comparison of Communication Architectures and Network Topologies for Distributed Propulsion Controls","59th IIS 2013","","","","http://www.dtic.mil/dtic/tr/fulltext/u2/a586909.pdf","A distributed engine control system (DECS) offering flexibility and scalability is envisioned for the next generation of propulsion controls. Perhaps the most touted benefit of a DECS is the potential to reduce the amount of harnessing which connects throughout the engine. Such a system is comprised of several network sections incorporating control nodes or data concentrators (DCs). These DCs contain control logic to perform control function computations and are connected to the full authority digital engine control (FADEC) via a high-speed data communication bus. A novel approach for analyzing and evaluating three topologies–ring, star, and bus–in the context of a relevant military engine was described. In this study, the algorithm uses a particle swarm optimization process to evolve solutions to a multi-objective optimization problem. The results of this study indicate there is potential for large wire length savings in a distributed control architecture.","2013","2016-12-01 16:56:30","2018-07-13 13:14:36","","","","","","","","","","","","","ISA","","","All rights reserved","","","","Google Scholar","","","","; /Users/vonmolal/Zotero/storage/CF9J6HEN/Von Moll_Behbahani_2013_Comparison of Communication Architectures and Network Topologies for.pdf","http://www.dtic.mil/cgi-bin/GetTRDoc?AD=ADA586909","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZSG7PNFY","conferencePaper","2018","Kalyanam, Krishna; Manyam, Satyanarayana; Von Moll, Alexander; Casbeer, David; Pachter, Meir","Scalable and Exact MILP Methods for UAV Persistent Visitation Problem","Conference on Control Technology and Applications","","","","https://sites.google.com/site/krishnakalyanam/ccta2018.pdf","We are interested in the persistent surveillance of an area of interest comprised of stations/ data nodes. The data collection task is undertaken by a UAV which autonomously executes the mission. Each node has a priority/ weight associated with it that characterizes the relative importance between timely collection of data from the nodes. In this context, a prudent performance metric is the maximal weighted time between consecutive visits to each node. We wish to minimize the maximum of this metric among all nodes for a given cycle length. Here, the cycle length refers to the total number of nodes (including repeats) visited per cycle. When the cycle length is greater than the number of nodes, some nodes, arguably ones with a higher priority, will be visited more often. We pose the problem as a Mixed Integer Linear Program (MILP), that computes the optimal visit sequence and number of visits to each node for a given cycle length. Not surprisingly, the exact method is not scalable with the number of nodes and the cycle length. We therefore present sub-optimal methods  by directly enforcing a pre-specified number of visits to each node. We present an iterative scheme that computes solutions for increasing cycle length with a recipe for updating the number of visits based on the solution from the previous iteration. We compare the optimal and sub-optimal iterative schemes and show that the sub-optimal scheme is an order of magnitude faster than the optimal scheme with minimal loss in performance.","2018-08","2018-03-06 18:16:37","2018-07-13 20:15:54","","","","","Manuscript accepted for publication","","","","","","","","IEEE","","","All rights reserved","","","","","","Manuscript accepted for publication","","/Users/vonmolal/Zotero/storage/A4CAP5N9/Kalyanam et al_2018_Scalable and Exact MILP Methods for UAV Persistent Visitation Problem.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Conference on Control Technology and Applications","","","","","","","","","","","","","","",""
"B63BR28F","thesis","2015","Von Moll, Alexander","Machine Learning Applications in Complex Control Systems","","","","","https://www.slideshare.net/AlexanderVonMoll/vonmollpaper","The intersection between machine learning and control theory is emerging rapidly; many rich applications are currently being developed. This report explores one particular area of interest: trajectory optimization. The Linear Quadratic Regulator and Linear Quadratic Gaussian algorithms are introduced as predecessors to the Iterative Linear Quadratic Gaussian (iLQG) algorithm, which is re-derived in this report and demonstrated on 3 systems of interest: cartpole, double cartpole, and quadrotor. iLQG is robust and widely applicable to a vast number of different systems. Probabilistic Differential Dynamic Programming (PDDP) is introduced as an important extension to iLQG which incorporates uncertainty into the trajectory optimization process. The conceptual advances presented in this report were centered around the use of a Gaussian Process Regression Network (GPRN) to represent the unknown system dynamics in lieu of the standard Gaussian Process representation employed by PDDP. GPRNs offer a more sophisticated noise model and a more adaptive regression framework. More speciffcally, they incorporate input-dependent noise and signal correlation between multiple outputs. This should enhance the predictive capability of the algorithm to represent the unknown system dynamics. Work remains on fully incorporating GPRN into a PDDP-like algorithm: effort continues in the areas of understanding variational Bayes and variational message passing for learning GPRN hyperparameters, and in creating a MATLAB implementation.","2015","2018-04-02 15:49:49","2018-07-13 13:03:03","","","","","","","","","","","","","Georgia Institute of Technology","","","All rights reserved","MS Special Project","","","","","Special Project AE8900","","/Users/vonmolal/Zotero/storage/3I8YUWFT/Von Moll_2015_Machine Learning Applications in Complex Control Systems.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GS6UY748","conferencePaper","2018","Von Moll, Alexander; Casbeer, David W.; Garcia, Eloy; Milutinović, Dejan","Pursuit-evasion of an Evader by Multiple Pursuers","2018 International Conference on Unmanned Aircraft Systems (ICUAS)","","","","","In this paper, we extend the well-studied results of the two-pursuer, single-evader differential game to any number of pursuers. The main objective of this investigation is to exploit the benefits of cooperation amongst the pursuers in order to reduce the capture time of the evader. Computational complexity is a chief concern as this problem would need to be solved in an online fashion, e.g. in the case of autonomous unmanned aerial vehicles. A new geometric approach to solving the game is introduced and analyzed, which changes the problem of optimizing over continuous domains to a discrete combinatoric optimization. While past efforts at solving multiple pursuer problems have suffered from the curse of dimensionality, the geometric algorithms put forth here are shown to be scalable. Categorization and removal of redundant pursuers is the primary means by which scalability is achieved. The solution of this problem serves as a stepping stone to more complex problems such as the M-pursuer N-evader differential game.","2018-06","2018-05-01 19:26:21","2018-05-09 14:55:03","","","","","","","","","","","","","","Dallas, TX","","All rights reserved","","IEEE Xplore","","","","","","/Users/vonmolal/Zotero/storage/NFH42JLL/Von Moll et al_2018_Pursuit-evasion of an Evader by Multiple Pursuers.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018 International Conference on Unmanned Aircraft Systems (ICUAS)","","","","","","","","","","","","","","",""
"HWT824ZI","conferencePaper","2018","Black, Richard J.; Moslehi, Behzad; Price, W; Sotoudeh, Vahid; Osterman, Michael; Das, Diganta; Behbahani, Alireza; Von Moll, Alexander; Semega, Kenneth","Integrated Fiber-Optic Sensor Network System Reliability Modeling and Analysis for Aerospace Applications","2018 AIAA Information Systems-AIAA Infotech @ Aerospace","","","","http://arc.aiaa.org/doi/10.2514/6.2018-0714","Next-generation integrated propulsion systems require reliable, robust, low-cost and highperformance sensing systems beyond what is expected to be delivered by conventional sensor networks. Emerging fiber-optic sensor networks offer distinct advantages, including multiplexability, cybersecurity, inherent EMI/RFI immunity, high speed and bandwidth, and compatibility with the avionics environment. Ongoing development of a novel reliability analysis methodology to quantify sensor network reliability in harsh environments is discussed. Failure modes, mechanisms, and effects analysis (FMMEA) was performed for jet engine environments. System design and deployment guidelines were then developed based upon experience in sensor network deployments to harsh environments. Addressing this key technology gap, an integrated fiber-optic network reliability analysis technique based upon  predictive failure models is being developed via rigorous environmental testing of critical optical and optoelectronic components comprising the sensor network. The results of this effort are expected to empower propulsion system sensing and control network engineers to enhance design and deployment for reliability.","2018-01-07","2018-07-11 13:09:33","2018-07-13 13:05:45","2018-07-11 13:09:33","","","","","","","","AIAA SciTech Forum","","","","American Institute of Aeronautics and Astronautics","","","All rights reserved","","","","arc-aiaa-org.wrs.idm.oclc.org (Atypon)","","DOI: 10.2514/6.2018-0714","","/Users/vonmolal/Zotero/storage/6THKTT25/Black et al_2018_Integrated Fiber-Optic Sensor Network System Reliability Modeling and Analysis.pdf; /Users/vonmolal/Zotero/storage/JDMULKCU/6.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AIAA SciTech","","","","","","","","","","","","","","",""
"MMEWIEQF","conferencePaper","2018","Moslehi, Behzad; Price, W; Black, Richard J.; Han, Ming; Behbahani, Alireza; Von Moll, Alexander; Semega, Kenneth","High-Bandwidth Fiber-Optic Pressure Sensors for High-Temperature Aerospace Applications","2018 AIAA Information Systems-AIAA Infotech @ Aerospace","","","","http://arc.aiaa.org/doi/10.2514/6.2018-0715","The insertion of advanced technologies into gas turbine engines is expected to reduce costs and improve performance. Engines will be getting smaller and hotter for efficiency reasons, requiring diverse types of sensors, in particular pressure and temperature sensors, with extended and enhanced performance. Emerging fiber-optic sensing approaches could provide a unique solution to surpassing the limitations and burden of conventional sensors. Two novel multiplexable fiber optic-based pressure sensor designs are discussed for high-temperature operations up to 1,800 °F and 3,700 °F. These innovative sensor designs enable more direct measurements over long durations, resulting in higher accuracy and stability. These sensors could be used in ground test cells, in-flight control, and diagnostics and prognostic health management (PHM). Highly reliable all-optical sensor networking and interface designs with a high-speed, high-bandwidth fiber-optic backbone is also presented.","2018-01-07","2018-07-11 13:09:42","2018-07-13 13:04:30","2018-07-11 13:09:41","","","","","","","","AIAA SciTech Forum","","","","American Institute of Aeronautics and Astronautics","","","All rights reserved","","","","arc-aiaa-org.wrs.idm.oclc.org (Atypon)","","DOI: 10.2514/6.2018-0715","","/Users/vonmolal/Zotero/storage/3SI9PKZ2/Moslehi et al_2018_High-Bandwidth Fiber-Optic Pressure Sensors for High-Temperature Aerospace.pdf; /Users/vonmolal/Zotero/storage/RYEX4A27/6.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AIAA SciTech","","","","","","","","","","","","","","",""
"VCESVPAH","journalArticle","2018","Manyam, Satyanarayana Gupta; Casbeer, David; Von Moll, Alexander; Fuchs, Zachariah","Shortest Dubins Path to a Circle","arXiv:1804.07238 [math]","","","","http://arxiv.org/abs/1804.07238","The Dubins path problem had enormous applications in path planning for autonomous vehicles. In this paper, we consider a generalization of the Dubins path planning problem, which is to find a shortest Dubins path that starts from a given initial position and heading, and ends on a given target circle with the heading in the tangential direction. This problem has direct applications in Dubins neighborhood traveling salesman problem, obstacle avoidance Dubins path planning problem etc. We characterize the length of the four CSC paths as a function of angular position on the target circle, and derive the conditions which to find the shortest Dubins path to the target circle.","2018-04-19","2018-07-11 13:22:41","2018-07-11 13:23:24","2018-07-11 13:22:41","","","","","","","","","","","","","","","All rights reserved","","","","arXiv.org","","arXiv: 1804.07238","","/Users/vonmolal/Zotero/storage/QY6G7CLF/1804.html; /Users/vonmolal/Zotero/storage/U9SWL5XS/Manyam et al_2018_Shortest Dubins Path to a Circle.pdf","","","Mathematics - Optimization and Control","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NHG42EFF","conferencePaper","2014","Von Moll, Alexander; Behbahani, Alireza R.; Fralick, Gustave C.; Wrbanek, John D.; Hunter, Gary W.","A Review of Exhaust Gas Temperature Sensing Techniques for Modern Turbine Engine Controls","50th AIAA/ASME/SAE/ASEE Joint Propulsion Conference","","","","http://arc.aiaa.org/doi/10.2514/6.2014-3977","The exhaust gas temperature (EGT) is typically defined as the gas temperature at the exit of the turbine; the sensors used to measure this parameter are considered the most vulnerable elements of the entire turbine engine instrumentation. EGT measurement is considered a key parameter for optimizing fuel economy, diagnosis, and prognosis. The reason is that turbine blade temperature is a good indicator for normal life consumption of that blade. Currently, direct sensor measurements made on turbine modules are limited due to the extremely hot environment. Exhaust gas temperature (EGT) sensors located downstream from the highest temperature sections provide a means to roughly infer the temperatures seen by the turbine blades/disks. But these sensors, which themselves are subject to frequent failures, provide a fairly inaccurate indication of the actual metal temperature profiles. This is of particular importance for high performance military turbine engines where the margin between hot-section operating conditions and material limitations is shrinking. A future state is envisioned that would use emerging pyrometric, fiber optic, and laser-based sensing to accurately assess the condition and life usage of the hot section, on a blade-by-blade basis.","2014-07-25","2018-07-13 12:55:56","2018-07-13 12:57:38","2018-07-13 12:55:56","","","","","","","","AIAA Propulsion and Energy Forum","","","","American Institute of Aeronautics and Astronautics","","","All rights reserved","","","","arc-aiaa-org.wrs.idm.oclc.org (Atypon)","","DOI: 10.2514/6.2014-3977","","/Users/vonmolal/Zotero/storage/ME458QRA/6.html; /Users/vonmolal/Zotero/storage/LF486FK6/Von Moll et al_2014_A Review of Exhaust Gas Temperature Sensing Techniques for Modern Turbine.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
